time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20230123:0210,0,0,-1.25,2.28,0,0
20230123:0310,0,0,-1.51,2.21,0,0
20230123:0410,0,0,-1.56,2.07,0,0
20230123:0510,0,0,-1.85,2.14,0,0
20230123:0610,0,0,-2.2,2.14,0,0
20230123:0710,0,0,-2.2,2,0,0
20230123:0810,0,0,-2.38,2,0,0
20230123:0910,109.48,7.73,-2.02,1.72,0,39412.8
20230123:1010,259.21,13.51,-0.41,1.38,0,93315.6
20230123:1110,237.32,17.4,1.17,1.38,0,85435.2
20230123:1210,694.83,19.04,2.65,1.52,0,250138.8
20230123:1310,621.37,18.28,3.49,1.52,0,223693.2
20230123:1410,525.58,15.17,3.75,1.66,0,189208.8
20230123:1510,309.54,10.04,3.54,1.38,0,111434.4
20230123:1610,12.67,3.28,2.76,1.24,0,4561.2
20230123:1710,0,0,0.69,1.17,0,0
20230123:1810,0,0,-1.03,1.45,0,0
20230123:1910,0,0,-2.53,1.86,0,0
